Pais,Latitud,Longitud,Link
Colombia,4.570868,-74.297333,https://pronosticos.aclimatecolombia.org/
Guatemala,15.783471,-90.230759,https://guatemala.aclimate.org/
Angola,-11.8775768,17.5691241,https://angola.aclimate.org/
Perú,-9.189967,-75.015152,https://peru.aclimate.org/
Ethiopia,9.145,40.489673, https://edacap.ethioagroclimate.net/#/Home
Tanzania,-6.369028,34.888822,https://tanzania.aclimate.org/
Malawi,-13.254308,34.301525,https://malawi.aclimate.org/
Zambia,-13.133897,27.849332,https://zambia.aclimate.org/
Nicaragua,12.865416,-85.207229,https://nicaragua.aclimate.org/
